Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
N,N,N,N,N,-,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,4/29/2011 22:12
Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,7/29/2015 11:15
Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,7/15/2016 16:43
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,7/8/2016 14:13
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,5/2/2012 16:27
Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,7/17/2016 20:50
Y,Y,N,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,12/29/2014 13:39
Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,10/22/2015 17:10
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,6/27/2016 14:42
Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/14/2014 11:25
N,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/14/2014 18:01
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,3/2/2015 9:48
N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/1/2014 9:29
Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,4/1/2014 9:11
Y,Y,Y,Y,Y,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/16/2013 21:08
Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,2/24/2015 16:40
Y,Y,N,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,6/29/2016 11:58
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,Y,N,Y,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/8/2011 16:12
N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/29/2012 11:14
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,Y,Y,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,7/5/2016 15:10
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/18/2013 10:55
Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/6/2016 16:51
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/2/2012 13:39
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,10/2/2014 11:47
N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/30/2012 13:07
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,6/27/2016 13:37
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,3/31/2015 16:44
Y,N,N,N,N,-,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,5/26/2016 11:10
Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,5/22/2014 15:33
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2013 16:50
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,7/8/2016 0:21
Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/19/2015 11:29
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/2015 12:50
Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,7/20/2015 14:15
Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,6/27/2016 21:20
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/24/2012 12:14
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,3/14/2014 11:13
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/4/2014 16:28
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Y,N,N,N,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/17/2013 14:28
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,7/8/2016 15:21
Y,Y,Y,Y,Y,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,3/19/2015 14:52
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,N,N,N,Y,-,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/18/2016 10:20
Y,Y,N,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,7/11/2016 10:01
Y,N,N,N,N,-,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,6/28/2016 17:14
N,N,N,N,N,-,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/18/2012 15:58
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/26/2014 22:52
Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,7/16/2016 1:40
Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,5/1/2012 18:18
Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/30/2014 14:43
Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/30/2012 15:45
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/12/2013 13:17
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,7/10/2016 8:46
N,N,N,N,N,-,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/30/2012 12:54
N,Y,N,Y,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/17/2011 9:54
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,7/5/2016 17:03
Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,7/12/2016 20:49
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2013 13:08
Y,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,7/5/2016 10:06
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,5/12/2014 15:42
Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,3/19/2015 16:11
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,7/5/2016 15:39
Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,3/25/2015 18:57
Y,Y,Y,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/25/2015 18:55
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,Y,Y,N,-,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,4/20/2011 13:57
Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/3/2015 19:06
Y,Y,Y,Y,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,Y,7/14/2016 18:04
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/22/2014 13:03
Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,7/21/2016 14:39
Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,6/22/2014 13:41
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,6/28/2016 8:51
Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,3/22/2014 14:20
Y,N,N,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,3/19/2015 11:30
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/17/2012 14:15
Y,N,N,N,N,-,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,7/1/2016 7:50
Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,3/15/2014 9:46
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,4/6/2015 9:52
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May  6 2010 12:37PM
Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,6/28/2016 6:52
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May  9 2010  9:56AM
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
N,Y,Y,Y,N,-,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,5/1/2012 14:16
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun  2 2010  9:28PM
Y,Y,N,Y,Y,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,4/14/2014 16:10
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,4/8/2014 15:58
N,Y,N,Y,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/9/2011 10:44
N,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/18/2013 8:55
Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,5/14/2014 18:38
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,Y,Y,-,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/11/2013 10:42
Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,7/25/2016 13:59
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,Y,N,Y,Y,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,7/1/2016 10:25
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,8/15/2014 15:01
Y,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,7/5/2016 10:20
Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,8/15/2014 10:51
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,Y,4/23/2014 19:53
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun  4 2010 11:23PM
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun  4 2010 11:28PM
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,3/24/2015 11:24
N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/2/2011 15:42
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/7/2016 16:39
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,8/11/2016 21:44
N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/13/2011 19:59
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Y,N,N,N,N,-,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,7/28/2015 18:05
Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/29/2015 10:21
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/29/2015 10:23
Y,Y,N,Y,Y,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/21/2014 11:33
Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/1/2013 12:30
Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Y,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,7/1/2013 12:21
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May  7 2010 10:42AM
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,7/1/2016 0:42
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/14/2014 11:06
Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,4/18/2014 15:50
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,6/28/2016 12:53
Y,N,N,N,N,-,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,6/30/2016 14:20
Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,7/15/2016 16:10
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,7/14/2016 15:29
N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,3/21/2014 18:09
Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,8/4/2015 10:54
Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/8/2016 17:38
Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,8/4/2015 11:18
Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,8/4/2015 11:23
Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,8/4/2015 11:52
